spotify_id,name,artists
59NraMJsLaMCVtwXTSia8i,Prada,cassö
6wf7Yu7cxBSPrRlWeSeK0Q,What Was I Made For? [From The Motion Picture Barbie],Billie Eilish
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake
1aILoZDz3wsIKO4Nj6aLgz,ER DETTE TIL Å OVERLEVE,Beathoven
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner
0EspE7ObH3h4icYdHdpwUl,VARMT (Kiss),Segertåget
09Ljv4rzoqrDyiuH7cOPgh,Rizzetid,Kudos
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla
5Eh1nj7IjV9lwpcKAkidyY,One Of Your Girls,Troye Sivan
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
2sbvNhKsY8OUEwlbZb7hXV,Haien Kommer (Sharkdog),Kudos
2O7YJWue0OOBHWxRaqDsm9,Josefin,Delara
7Fjz93GKhU5LlTacFAO8ze,Automatic,C.Gambino
04KbGASNQpMe2yiNkfnsni,Kåmon (ft. Roc Boyz),Chris Abolade
5F8c71PbayLIedqmjskrhM,Badebussen (feat. Kjartan Lauritzen),DJ MøMø
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace
67en3njm0MOvKPIM3lkR3V,Feeling Myself - Roc Boyz Remix,23
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae
2HafqoJbgXdtjwCOvNEF14,Si No Estás,iñigo quintero
7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,Elton John
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers
2gyxAWHebV7xPYVxqoi86f,get him back!,Olivia Rodrigo
602d2gJewoiF1FivuOMMwE,Disconnect,Becky Hill
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon
4KjHgPOIsA8LlMwyAJRlfv,Michelin Stjerner,UNDERGRUNN
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta
7r8FHPasw67Nl4Hqyd4685,Superstars (mageplask),Golfklubb
3r0aM0M0toxEPbkYtXhNAZ,Fyll & Faenskap,Staysman
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus
1XTY6rA7XQosc0ynkkE9kN,Black Friday,Tom Odell
5JEzgajKcC4eIQfRu3cZk7,Is It Love,Loreen
1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,Loreen
7fZlCmEKhOsG9klW3e2qEn,Haha (feat. Rambow),El Papi
0eoNXHlt2V32uXCy60jCCa,Lenge Leve,UNDERGRUNN
0hEX2JeG6jep9hVE5mXRuR,Hold my breath,Emma Steinbakken
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dua Lipa
08dWbd4W1hhUusqsJ7zk2J,Sommerhus,Marstein
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski
