"spotify_id","name","artists","snapshot_date","is_explicit","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","__index_level_0__"
"59NraMJsLaMCVtwXTSia8i","Prada","cassö, RAYE, D-Block Europe","2023-10-18 00:00:00.000000000",true,132359,0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4,1132002
"6wf7Yu7cxBSPrRlWeSeK0Q","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish","2023-10-18 00:00:00.000000000",false,222369,0.444,0.0911,0,-17.665,1,0.0307,0.959,0.00000105,0.098,0.142,78.403,4,1129581
"0QZ5yyl6B6utIWkxeBDxQN","The Night We Met","Lord Huron","2023-10-18 00:00:00.000000000",false,208211,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3,1129580
"2YSzYUF3jWqb9YP9VXmpjE","IDGAF (feat. Yeat)","Drake, Yeat","2023-10-18 00:00:00.000000000",true,260111,0.663,0.67,8,-8.399,1,0.271,0.0464,0.0000892,0.205,0.138,136.952,4,1129579
"1aILoZDz3wsIKO4Nj6aLgz","ER DETTE TIL Å OVERLEVE","Beathoven, Randi Oline","2023-10-18 00:00:00.000000000",false,166615,0.7,0.802,8,-6.627,0,0.0684,0.0576,0.000226,0.0955,0.501,130.016,4,1129578
"1odExI7RdWc4BT515LTAwj","Daylight","David Kushner","2023-10-18 00:00:00.000000000",false,212953,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4,1129577
"0EspE7ObH3h4icYdHdpwUl","VARMT (Kiss)","Segertåget","2023-10-18 00:00:00.000000000",true,151706,0.593,0.603,9,-6.912,1,0.126,0.0314,0,0.226,0.687,132.137,4,1129576
"09Ljv4rzoqrDyiuH7cOPgh","Rizzetid","Kudos, b.G, Phill","2023-10-18 00:00:00.000000000",true,201103,0.651,0.762,8,-7.939,0,0.0426,0.0552,0.171,0.0861,0.306,145.063,4,1129575
"5aIVCx5tnk0ntmdiinnYvw","Water","Tyla","2023-10-18 00:00:00.000000000",false,200255,0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4,1129574
"5Eh1nj7IjV9lwpcKAkidyY","One Of Your Girls","Troye Sivan","2023-10-18 00:00:00.000000000",false,181481,0.629,0.654,11,-7.852,0,0.0584,0.0878,0.00655,0.22,0.799,93.034,4,1129573
"4KULAymBBJcPRpk1yO4dOG","I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","2023-10-18 00:00:00.000000000",false,227195,0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4,1129572
"2sbvNhKsY8OUEwlbZb7hXV","Haien Kommer (Sharkdog)","Kudos, Golfklubb","2023-10-18 00:00:00.000000000",false,196692,0.68,0.776,6,-7.237,0,0.0897,0.095,0.00112,0.157,0.696,144.038,4,1129571
"2O7YJWue0OOBHWxRaqDsm9","Josefin","Delara","2023-10-18 00:00:00.000000000",false,214187,0.263,0.182,8,-11.414,0,0.0337,0.952,0.000425,0.239,0.208,180.783,4,1129582
